10/16/15
Module Metrics

Program: PopcornTime_Android
Module Name,Mod #,v(G),ev(G),iv(G),# Lines,Line #
"pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.19.__Anon_001_.onSelection(int,java.lang.Object)",561,2,1,2,7,364
TorrentService.onStreamPrepared(com.github.sv244.torrentstream.Torrent),455,2,1,2,7,313
UnicodeBOMInputStream.skipBOM(),484,2,1,2,7,227
"FileUtils.saveStringFile(java.lang.String[],java.io.File)",173,2,1,2,7,198
BeamManager.getInstance(android.content.Context),87,2,1,2,7,167
PopcornUpdater.getInstance(android.content.Context),1205,2,1,2,7,137
"pct.droid.base.beaming.BeamManager.__Anon_002_.onClick(android.content.DialogInterface,int)",538,2,1,2,7,125
pct.droid.base.providers.subs.YSubsProvider.__Anon_002_.onResponse(com.squareup.okhttp.Response),669,2,1,2,7,117
FileSelectorDialogFragment.hide(),162,2,1,2,7,57
VLCInstance.restart(android.content.Context),487,2,1,2,7,51
LocaleUtils.toLocale(java.lang.String),1074,2,1,2,7,51
"PreferencesHandler.ItemsGenerator.generate(PreferencesHandler,boolean)",350,2,1,2,7,49
LocaleUtils.getLanguageCode(java.util.Locale),214,2,1,2,7,43
AnimUtils.fadeOut(android.view.View),3,2,1,2,7,36
AnimUtils.fadeIn(android.view.View),2,2,1,2,7,28
"BaseStreamLoadingFragment.onStreamProgress(com.github.sv244.torrentstream.Torrent,com.github.sv244.torrentstream.StreamStatus)",21,2,1,2,6,296
"YSubsProvider.YSubsResponse.mapLanguage(java.lang.String,java.util.HashMap)",515,2,1,2,6,167
BaseStreamLoadingFragment.onPause(),17,2,1,2,6,143
SubtitleDownloader.onSubtitleDownloadFailed(),420,2,1,2,6,107
TorrentHealth.getImageDrawable(android.content.Context),438,2,1,2,6,95
PrefItem.getSubtitle(),329,2,1,2,6,89
VPNManager.getLatestInstance(),497,2,1,2,6,71
Option.compareTo(Option),288,2,1,2,6,46
BaseVideoPlayerFragment.setCurrentTime(long),789,2,1,2,5,410
"BeamManager.onConnectionFailed(com.connectsdk.device.ConnectableDevice,com.connectsdk.service.command.ServiceCommandError)",94,2,1,2,5,407
